link,Owner,Extension,Level,DateCreated,DateAccessed,DateWritten,TotalByteSize,DirectByteSize,DirectFileCount,CharacterLength,pathString,parentName,ID,parentID,TotalFileCount,bg_clr,ico,ext,fileType,bgclr,i.ico,i.fileType,Name,Type,DateWrittenIndexDate,DateCreatedIndexDate,DateAccessedIndexDate,filter
"<a href=""file:C:/ML-For-Beginners-main/.gitignore"">NA </a>",ECNCR/Kedidaz,gitignore,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,6089,,,34,C:\ML-For-Beginners-main\,C:\ML-For-Beginners-main,197,1,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",gitignore,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,"",File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/.nojekyll"">NA </a>",ECNCR/Kedidaz,nojekyll,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,0,,,33,C:\ML-For-Beginners-main\,C:\ML-For-Beginners-main,198,1,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",nojekyll,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,"",File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/CODE_OF_CONDUCT.md"">NA CODE_OF_CONDUCT</a>",ECNCR/Kedidaz,md,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,444,,,42,C:\ML-For-Beginners-main\CODE_OF_CONDUCT,C:\ML-For-Beginners-main,199,1,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,CODE_OF_CONDUCT,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/CONTRIBUTING.md"">NA CONTRIBUTING</a>",ECNCR/Kedidaz,md,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1154,,,39,C:\ML-For-Beginners-main\CONTRIBUTING,C:\ML-For-Beginners-main,200,1,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,CONTRIBUTING,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/docsifytopdf.js""><i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i> docsifytopdf</a>",ECNCR/Kedidaz,js,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,583,,,39,C:\ML-For-Beginners-main\docsifytopdf,C:\ML-For-Beginners-main,201,1,1,#f0f4c3,"<i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i>",js,code,#f0f4c3,"<i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i>",code,docsifytopdf,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/for-teachers.md"">NA for-teachers</a>",ECNCR/Kedidaz,md,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1820,,,39,C:\ML-For-Beginners-main\for-teachers,C:\ML-For-Beginners-main,202,1,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,for-teachers,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/index.html""><i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i> index</a>",ECNCR/Kedidaz,html,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,875,,,34,C:\ML-For-Beginners-main\index,C:\ML-For-Beginners-main,203,1,1,#f0f4c3,"<i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i>",html,code,#f0f4c3,"<i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i>",code,index,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/NA."">NA </a>",ECNCR/Kedidaz,"",1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1141,,,31,C:\ML-For-Beginners-main\NA,C:\ML-For-Beginners-main,204,1,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>","",,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,"",File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/ml-for-beginners.png""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> ml-for-beginners</a>",ECNCR/Kedidaz,png,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,189049,,,44,C:\ML-For-Beginners-main\ml-for-beginners,C:\ML-For-Beginners-main,205,1,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",png,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,ml-for-beginners,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/ml.gif""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> ml</a>",ECNCR/Kedidaz,gif,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,363930,,,30,C:\ML-For-Beginners-main\ml,C:\ML-For-Beginners-main,206,1,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",gif,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,ml,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/package-lock.json""><i class=""fa fa-cube"" role=""presentation"" aria-label=""cube icon""></i> package-lock</a>",ECNCR/Kedidaz,json,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,77333,,,41,C:\ML-For-Beginners-main\package-lock,C:\ML-For-Beginners-main,207,1,1,#c8e6c9,"<i class=""fa fa-cube"" role=""presentation"" aria-label=""cube icon""></i>",json,data,#c8e6c9,"<i class=""fa fa-cube"" role=""presentation"" aria-label=""cube icon""></i>",data,package-lock,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/package.json""><i class=""fa fa-cube"" role=""presentation"" aria-label=""cube icon""></i> package</a>",ECNCR/Kedidaz,json,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,640,,,36,C:\ML-For-Beginners-main\package,C:\ML-For-Beginners-main,208,1,1,#c8e6c9,"<i class=""fa fa-cube"" role=""presentation"" aria-label=""cube icon""></i>",json,data,#c8e6c9,"<i class=""fa fa-cube"" role=""presentation"" aria-label=""cube icon""></i>",data,package,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/README.md"">NA README</a>",ECNCR/Kedidaz,md,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,20661,,,33,C:\ML-For-Beginners-main\README,C:\ML-For-Beginners-main,209,1,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/SECURITY.md"">NA SECURITY</a>",ECNCR/Kedidaz,md,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,2802,,,35,C:\ML-For-Beginners-main\SECURITY,C:\ML-For-Beginners-main,210,1,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,SECURITY,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/SUPPORT.md"">NA SUPPORT</a>",ECNCR/Kedidaz,md,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,443,,,34,C:\ML-For-Beginners-main\SUPPORT,C:\ML-For-Beginners-main,211,1,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,SUPPORT,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/TRANSLATIONS.md"">NA TRANSLATIONS</a>",ECNCR/Kedidaz,md,1,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1774,,,39,C:\ML-For-Beginners-main\TRANSLATIONS,C:\ML-For-Beginners-main,212,1,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,TRANSLATIONS,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/.devcontainer/devcontainer.json""><i class=""fa fa-cube"" role=""presentation"" aria-label=""cube icon""></i> devcontainer</a>",ECNCR/Kedidaz,json,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1978,,,55,C:\ML-For-Beginners-main\.devcontainer\devcontainer,C:\ML-For-Beginners-main\.devcontainer,213,2,1,#c8e6c9,"<i class=""fa fa-cube"" role=""presentation"" aria-label=""cube icon""></i>",json,data,#c8e6c9,"<i class=""fa fa-cube"" role=""presentation"" aria-label=""cube icon""></i>",data,devcontainer,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/.devcontainer/NA."">NA </a>",ECNCR/Kedidaz,"",2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1371,,,48,C:\ML-For-Beginners-main\.devcontainer\NA,C:\ML-For-Beginners-main\.devcontainer,214,2,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>","",,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,"",File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/.github/ISSUE_TEMPLATE/bug_report.md"">NA bug_report</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,834,,,60,C:\ML-For-Beginners-main\.github\ISSUE_TEMPLATE\bug_report,C:\ML-For-Beginners-main\.github\ISSUE_TEMPLATE,215,4,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,bug_report,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/.github/ISSUE_TEMPLATE/feature_request.md"">NA feature_request</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,595,,,65,C:\ML-For-Beginners-main\.github\ISSUE_TEMPLATE\feature_request,C:\ML-For-Beginners-main\.github\ISSUE_TEMPLATE,216,4,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,feature_request,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/.github/ISSUE_TEMPLATE/translations-checklist.md"">NA translations-checklist</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1815,,,72,C:\ML-For-Beginners-main\.github\ISSUE_TEMPLATE\translations-checklist,C:\ML-For-Beginners-main\.github\ISSUE_TEMPLATE,217,4,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,translations-checklist,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/.github/PULL_REQUEST_TEMPLATE/translation_checklist.md"">NA translation_checklist</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,657,,,78,C:\ML-For-Beginners-main\.github\PULL_REQUEST_TEMPLATE\translation_checklist,C:\ML-For-Beginners-main\.github\PULL_REQUEST_TEMPLATE,218,5,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,translation_checklist,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/.github/workflows/azure-static-web-apps-gray-sand-07a10f403.yml"">NA azure-static-web-apps-gray-sand-07a10f403</a>",ECNCR/Kedidaz,yml,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1796,,,87,C:\ML-For-Beginners-main\.github\workflows\azure-static-web-apps-gray-sand-07a10f403,C:\ML-For-Beginners-main\.github\workflows,219,6,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",yml,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,azure-static-web-apps-gray-sand-07a10f403,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/.github/workflows/lock.yml"">NA lock</a>",ECNCR/Kedidaz,yml,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,212,,,50,C:\ML-For-Beginners-main\.github\workflows\lock,C:\ML-For-Beginners-main\.github\workflows,220,6,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",yml,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,lock,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/.github/workflows/stale.yml"">NA stale</a>",ECNCR/Kedidaz,yml,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,876,,,51,C:\ML-For-Beginners-main\.github\workflows\stale,C:\ML-For-Beginners-main\.github\workflows,221,6,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",yml,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,stale,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/README.md"">NA README</a>",ECNCR/Kedidaz,md,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1542,,,48,C:\ML-For-Beginners-main\1-Introduction\README,C:\ML-For-Beginners-main\1-Introduction,222,7,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/assignment.md"">NA assignment</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,437,,,66,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\assignment,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML,223,8,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/lesson-1.pdf""><i class=""fa fa-file-pdf"" role=""presentation"" aria-label=""file-pdf icon""></i> lesson-1</a>",ECNCR/Kedidaz,pdf,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,273093,,,65,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\lesson-1,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML,224,8,1,#ffcdd2,"<i class=""fa fa-file-pdf"" role=""presentation"" aria-label=""file-pdf icon""></i>",pdf,pdf,#ffcdd2,"<i class=""fa fa-file-pdf"" role=""presentation"" aria-label=""file-pdf icon""></i>",pdf,lesson-1,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/README.md"">NA README</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,9462,,,62,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\README,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML,225,8,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/images/ai-ml-ds.png""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> ai-ml-ds</a>",ECNCR/Kedidaz,png,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,60304,,,72,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\images\ai-ml-ds,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\images,226,9,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",png,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,ai-ml-ds,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/images/hype.png""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> hype</a>",ECNCR/Kedidaz,png,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,154886,,,68,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\images\hype,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\images,227,9,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",png,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,hype,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/assignment.es.md"">NA assignment.es</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,438,,,82,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\assignment.es,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,228,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.es,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/assignment.fr.md"">NA assignment.fr</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,467,,,82,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\assignment.fr,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,229,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.fr,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/assignment.id.md"">NA assignment.id</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,453,,,82,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\assignment.id,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,230,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.id,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/assignment.it.md"">NA assignment.it</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,490,,,82,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\assignment.it,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,231,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.it,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/assignment.ja.md"">NA assignment.ja</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,497,,,82,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\assignment.ja,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,232,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.ja,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/assignment.ko.md"">NA assignment.ko</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,516,,,82,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\assignment.ko,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,233,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.ko,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/assignment.pt-br.md"">NA assignment.pt-br</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,474,,,85,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\assignment.pt-br,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,234,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.pt-br,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/assignment.ru.md"">NA assignment.ru</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,645,,,82,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\assignment.ru,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,235,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.ru,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/assignment.tr.md"">NA assignment.tr</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,478,,,82,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\assignment.tr,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,236,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.tr,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/assignment.zh-cn.md"">NA assignment.zh-cn</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,431,,,85,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\assignment.zh-cn,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,237,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.zh-cn,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
