link,Owner,Extension,Level,DateCreated,DateAccessed,DateWritten,TotalByteSize,DirectByteSize,DirectFileCount,CharacterLength,pathString,parentName,ID,parentID,TotalFileCount,bg_clr,ico,ext,fileType,bgclr,i.ico,i.fileType,Name,Type,DateWrittenIndexDate,DateCreatedIndexDate,DateAccessedIndexDate,filter
"<a href=""file:C:/ML-For-Beginners-main/quiz-app/src/router/index.js""><i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i> index</a>",ECNCR/Kedidaz,js,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,613,,,52,C:\ML-For-Beginners-main\quiz-app\src\router\index,C:\ML-For-Beginners-main\quiz-app\src\router,928,193,1,#f0f4c3,"<i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i>",js,code,#f0f4c3,"<i class=""fa fa-file-code"" role=""presentation"" aria-label=""file-code icon""></i>",code,index,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/quiz-app/src/views/Home.vue"">NA Home</a>",ECNCR/Kedidaz,vue,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,396,,,51,C:\ML-For-Beginners-main\quiz-app\src\views\Home,C:\ML-For-Beginners-main\quiz-app\src\views,929,194,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",vue,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,Home,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/quiz-app/src/views/NotFound.vue"">NA NotFound</a>",ECNCR/Kedidaz,vue,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,71,,,55,C:\ML-For-Beginners-main\quiz-app\src\views\NotFound,C:\ML-For-Beginners-main\quiz-app\src\views,930,194,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",vue,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,NotFound,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/sketchnotes/LICENSE.md"">NA LICENSE</a>",ECNCR/Kedidaz,md,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,20131,,,46,C:\ML-For-Beginners-main\sketchnotes\LICENSE,C:\ML-For-Beginners-main\sketchnotes,931,195,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,LICENSE,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/sketchnotes/ml-fairness.png""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> ml-fairness</a>",ECNCR/Kedidaz,png,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,730486,,,51,C:\ML-For-Beginners-main\sketchnotes\ml-fairness,C:\ML-For-Beginners-main\sketchnotes,932,195,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",png,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,ml-fairness,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/sketchnotes/ml-history.png""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> ml-history</a>",ECNCR/Kedidaz,png,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,849354,,,50,C:\ML-For-Beginners-main\sketchnotes\ml-history,C:\ML-For-Beginners-main\sketchnotes,933,195,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",png,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,ml-history,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/sketchnotes/ml-realworld.png""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> ml-realworld</a>",ECNCR/Kedidaz,png,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,768968,,,52,C:\ML-For-Beginners-main\sketchnotes\ml-realworld,C:\ML-For-Beginners-main\sketchnotes,934,195,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",png,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,ml-realworld,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/sketchnotes/ml-regression.png""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> ml-regression</a>",ECNCR/Kedidaz,png,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,704859,,,53,C:\ML-For-Beginners-main\sketchnotes\ml-regression,C:\ML-For-Beginners-main\sketchnotes,935,195,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",png,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,ml-regression,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/sketchnotes/ml-reinforcement.png""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> ml-reinforcement</a>",ECNCR/Kedidaz,png,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,687451,,,56,C:\ML-For-Beginners-main\sketchnotes\ml-reinforcement,C:\ML-For-Beginners-main\sketchnotes,936,195,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",png,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,ml-reinforcement,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/sketchnotes/ml-timeseries.png""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> ml-timeseries</a>",ECNCR/Kedidaz,png,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,640860,,,53,C:\ML-For-Beginners-main\sketchnotes\ml-timeseries,C:\ML-For-Beginners-main\sketchnotes,937,195,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",png,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,ml-timeseries,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/sketchnotes/README.md"">NA README</a>",ECNCR/Kedidaz,md,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,482,,,45,C:\ML-For-Beginners-main\sketchnotes\README,C:\ML-For-Beginners-main\sketchnotes,938,195,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/translations/README.es.md"">NA README.es</a>",ECNCR/Kedidaz,md,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,20526,,,49,C:\ML-For-Beginners-main\translations\README.es,C:\ML-For-Beginners-main\translations,939,196,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.es,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/translations/README.hi.md"">NA README.hi</a>",ECNCR/Kedidaz,md,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,28860,,,49,C:\ML-For-Beginners-main\translations\README.hi,C:\ML-For-Beginners-main\translations,940,196,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.hi,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/translations/README.it.md"">NA README.it</a>",ECNCR/Kedidaz,md,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,18082,,,49,C:\ML-For-Beginners-main\translations\README.it,C:\ML-For-Beginners-main\translations,941,196,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.it,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/translations/README.ja.md"">NA README.ja</a>",ECNCR/Kedidaz,md,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,17660,,,49,C:\ML-For-Beginners-main\translations\README.ja,C:\ML-For-Beginners-main\translations,942,196,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.ja,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/translations/README.ko.md"">NA README.ko</a>",ECNCR/Kedidaz,md,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,17381,,,49,C:\ML-For-Beginners-main\translations\README.ko,C:\ML-For-Beginners-main\translations,943,196,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.ko,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/translations/README.ms.md"">NA README.ms</a>",ECNCR/Kedidaz,md,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,21406,,,49,C:\ML-For-Beginners-main\translations\README.ms,C:\ML-For-Beginners-main\translations,944,196,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.ms,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/translations/README.pt-br.md"">NA README.pt-br</a>",ECNCR/Kedidaz,md,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,17865,,,52,C:\ML-For-Beginners-main\translations\README.pt-br,C:\ML-For-Beginners-main\translations,945,196,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.pt-br,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/translations/README.pt.md"">NA README.pt</a>",ECNCR/Kedidaz,md,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,16657,,,49,C:\ML-For-Beginners-main\translations\README.pt,C:\ML-For-Beginners-main\translations,946,196,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.pt,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/translations/Readme.ta.md"">NA Readme.ta</a>",ECNCR/Kedidaz,md,2,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,33870,,,49,C:\ML-For-Beginners-main\translations\Readme.ta,C:\ML-For-Beginners-main\translations,947,196,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,Readme.ta,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
